,well_name,de_operator,county,state,address,de_status,de_well_type,de_direction,de_closest_city,de_latitude,de_longitude,de_oil_bbls,de_gas_mcf,de_production_start,de_production_end
34,Columbus Federal 2-16H,"CONTINENTAL RESOURCES, INC.",,ND,P.O. Box 268870,Active,Oil & Gas,H,Williston,48.075342,-103.66978,815,1.4 k,March 2014,December 2025
35,Columbus Federal 3-16H ~ 4 & lt-153N-101W Sec__ '-I i ti J-2 I,"CONTINENTAL RESOURCES, INC.",,ND,P.O. Box 268870,Active,Oil & Gas,H,Williston,48.075449,-103.669687,570,702,March 2014,December 2025
36,Colville 5301 44-12T,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.082623,-103.607895,714,1.1 k,September 2013,December 2025
37,Lewis Federal 5300 21-31 6B,OASIS PETROLEUM NORTH AMERICA LLC,Mckenzie,ND,,Active,Oil & Gas,H,Williston,48.031718,-103.603085,967,4.1 k,September 2019,December 2025
38,Lewis Federal 5300 21-31 5B,OASIS PETROLEUM NORTH AMERICA LLC,Mckenzie,ND,,Active,Oil & Gas,H,Williston,48.031808,-103.603086,1 k,211,September 2019,December 2025
39,Wade Federal 5300 31-30 11 T,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.044162,-103.60267,243,1.2 k,May 2015,December 2025
40,Chalmers 5301 44-24 2TR,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.055866,-103.604903,275,2.5 k,December 2014,December 2025
41,Wade Federal 5300 41-30 4T,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.042266,-103.603158,78,779,May 2015,December 2025
42,Wade Federal 5300 41-30 6B,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Inactive,Oil & Gas,H,Williston,48.041298,-103.603014,,,June 2015,December 2025
43,Wade Federal 5300 31-30 2B,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.042447,-103.603155,266,1.6 k,May 2015,December 2025
44,Wade Federal 5300 41-30 7T,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.041208,-103.603016,317,1.1 k,June 2015,December 2025
45,Chalmers 5301 44-24 3BR,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.055776,-103.604903,1.3 k,4 k,December 2014,December 2025
46,~!8T1'3N P'>IOrw,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Dry Hole,Oil & Gas,H,Williston,48.055504,-103.604905,,,,
47,Chalmers Wade Federal 5301 44-2412TXR,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.055551,-103.604905,540,3.6 k,December 2014,December 2025
48,Chalmers 5300 21-19 5T,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.061796,-103.602522,396,1 k,July 2015,December 2025
49,Chalmers 5300 21-19 6B,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.061706,-103.602522,292,553,July 2015,December 2025
50,Chalmers 5300 21-19 ST,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.061525,-103.602523,227,1.5 k,July 2015,December 2025
