Date,Ticker,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26,MA_Signal,EMA_Signal,daily_return,Close_lag1,volume_ma_20,volume_ratio,price_range,volatility_20,day_of_week
2024-01-02,AAPL,185.39908100307179,186.6770206585062,182.16958591702465,183.90321350097656,82488700,,,183.90321350097656,183.90321350097656,-1,-1,,,,,4.507434741481546,,1
2024-01-02,AMZN,151.5399932861328,152.3800048828125,148.38999938964844,149.92999267578125,47339400,,,149.92999267578125,149.92999267578125,-1,-1,,,,,3.9900054931640625,,1
2024-01-02,GOOGL,137.51100529289818,138.4042500618413,135.45652112222194,137.13385009765625,23711200,,,137.13385009765625,137.13385009765625,-1,-1,,,,,2.947728939619367,,1
2024-01-02,IBM,153.19096708341556,153.62372846068703,150.96126837984605,151.939697265625,3825000,,,151.939697265625,151.939697265625,-1,-1,,,,,2.6624600808409866,,1
2024-01-02,MSFT,368.3676650837192,370.37770417291745,361.3818268052928,365.4216003417969,25258600,,,365.4216003417969,365.4216003417969,-1,-1,,,,,8.995877367624644,,1
2024-01-02,ORCL,101.97080599799085,102.12690725049701,99.94154181863246,101.52202606201172,9597500,,,101.52202606201172,101.52202606201172,-1,-1,,,,,2.185365431864554,,1
2024-01-02,TSLA,250.0800018310547,251.25,244.41000366210938,248.4199981689453,104654200,,,248.4199981689453,248.4199981689453,-1,-1,,,,,6.839996337890625,,1
2024-01-03,AAPL,182.49651173581816,184.1409850600839,181.7138941984477,182.52622985839844,58414500,,,183.69136986365686,183.80121471263743,-1,-1,-0.007487545303664911,183.90321350097656,,,2.427090861636202,,2
2024-01-03,AMZN,149.1999969482422,151.0500030517578,148.3300018310547,148.47000122070312,49425500,,,149.70537860576923,149.82184516059027,-1,-1,-0.00973782115920796,149.92999267578125,,,2.720001220703125,,2
2024-01-03,GOOGL,136.22076003752528,138.58291722535583,136.05203668758926,137.87823486328125,24212100,,,137.24837083082932,137.18898970992475,-1,1,0.0054281620846705625,137.13385009765625,,,2.5308805377665635,,2
2024-01-03,IBM,151.46932154336974,152.15610388858653,150.60378428578412,150.6226043701172,4086100,,,151.73706758939304,151.8421348289207,-1,-1,-0.008668523889482471,151.939697265625,,,1.552319602802413,,2
2024-01-03,MSFT,363.58894066618615,367.7765045721429,363.09628608901477,365.15557861328125,23083500,,,365.38067392202527,365.4018950285735,-1,-1,-0.0007279857793485167,365.4216003417969,,,4.680218483128158,,2
2024-01-03,ORCL,100.78056094773207,100.85860412563825,99.25860360714944,99.96104431152344,9455600,,,101.28187502347505,101.40639778419778,-1,-1,-0.015375793914266467,101.52202606201172,,,1.6000005184888124,,2
2024-01-03,TSLA,244.97999572753906,245.67999267578125,236.32000732421875,238.4499969482422,121082600,,,246.88615182729868,247.68147956000433,-1,-1,-0.04013364984377277,248.4199981689453,,,9.3599853515625,,2
2024-01-04,AAPL,180.4458595901839,181.37706768373354,179.18775216816366,180.20811462402344,71983600,,,183.15548444217478,183.53505915051787,-1,-1,-0.012700175948264336,182.52622985839844,,,2.189315515569888,,3
