well_file_number,well_name,operator,api,county,state,address,latitude,longitude
28658,Kline Federal 5300 41-18 12TX,Oasis Petroleum North America,33-053-06030,McKenzie,ND,"1001 Fannin, Suite 1500",48.068764,-103.603319
28744,Wade Federal 5300 41-30 9B,Oasis Petroleum North America,33-053-06051,Williams,ND,"1001 Fannin, Suite 1500",,
28754,Kline Federal 5300 31-18 8B,Oasis Petroleum North America,33-053-06055,,ND,"1001 Fannin, Suite 1500",,
28755,Kline Federal 5300 31-18 7T Sec.17/18,Oasis Petroleum North America,33-053-06056,,ND,"1001 Fannin, Suite 1500",,
28756,Kline Federal 5300 31-18 6B,Oasis Petroleum North America,33-053-06057,,ND,"1001 Fannin, Suite 1500",,
28976,Wade Federal 5300 21-30 12T,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,
28978,WADE FEDERAL 5300 21-30 13B,Oasis Petroleum North America LLC BAKER,,Mckenzie,ND,"1001 Fannin, Suite 1500 Houston TX 77002",,
29242,Kline Federal 5300 11-18 5B,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,
29244,Kline Federal 5300 11-18 3T,Oasis Petroleum North America,33-053-06225,,ND,"1001 Fannin, Suite 1500",,
29316,Gramma Federal 5300 41-3112B,Oasis Petroleum North America,33-053-06231,,ND,"1001 Fannin, Suite 1500",,
29317,Gramma Federal 5300 41-31 13T,Oasis Petroleum North America,33-053-06232,,ND,"1001 Fannin, Suite 1500",,
29334,Kline Federal 5300 11-18 2B,Oasis Petroleum North America,33-053-06243,,ND,"1001 Fannin, Suite 1500",,
30188,Lewis Federa1 5300 11‐,Oasis Petroleum North America 〔281)404‐9591 Ｂａｋ ｅ,33-053-06548,,ND,揃ｌ,48.035810,103.602608
30189,Lewis Federal 5300 11-31 2B,Oasis Petroleum,33-053-06549,Mckenzie,ND,,,
30789,KLINE FEDERAL 5300 31-18 15T LOT3,Oasis Petroleum North America LLC,,Mckenzie,ND,P.O. Box 3886 Enid OK 73702,,
36047,Lewis Federal 5300 11-31 4BR,Oasis Petroleum,33-053-08946,Mckenzie,ND,,,
90244,Buck Shot SWD 5300 31-31H,Oasis Petroleum North America LLC,33-053-90244,McKenzie,ND,"1001 Fannin, Suite 1500 Dakota Group",,
90258,Atl mta #1 SWD,"Continental Resources, Inc.",,Williams,ND,P. 0. Box 268870,,
90329,Carson SWD 5301 12-24,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500 Dakota",,
