well_file_number,well_name,operator,api,county,state,address,latitude,longitude,de_url,de_found,de_status,de_well_type,de_direction,de_operator,de_closest_city,de_latitude,de_longitude,de_oil_bbls,de_gas_mcf,de_production_start,de_production_end
23360,Atlanta 13-6H,"Continental Resources, Inc.",33-105-02720,Williams,ND,,48.109,-103.728,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-13-6h/33-105-02720,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.109439,-103.727678,608,884,February 2014,December 2025
23361,AUmta 12-6H,"Continental Resources, Inc.",33-105-02721,Williams,ND,- P.O. Box 268870,48.109,-103.728,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-12-6h/33-105-02721,1,Inactive,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.109444,-103.727862,N/A,N/A,February 2014,December 2025
23362,Atlanta 11-6H,"Continental Resources, Inc.",33-105-02722,Williams,ND,,48.11,-103.73,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-11-6h/33-105-02722,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.109450,-103.728047,565,843,February 2014,December 2025
23363,Atlanta Federal 10-6H,"Continental Resources, Inc.",33-105-02723,Williams,ND,,,,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-federal-10-6h/33-105-02723,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.109455,-103.728231,387,666,February 2014,December 2025
23364,Atlanta Federal 9-6H,"Continental Resources, Inc.",33-105-02724,Well,ND,,,,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-federal-9-6h/33-105-02724,1,Inactive,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.109460,-103.728415,N/A,N/A,February 2014,December 2025
23365,Atlanta Federal 8-6H,"Continental Resources, Inc.",33-105-02725,Williams,ND,,,,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-federal-8-6h/33-105-02725,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.109493,-103.729603,229,493,February 2014,December 2025
23366,Atlanta Federal 7-6H,"Continental Resources, Inc.",33-105-02726,Williams,ND,,,,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-federal-7-6h/33-105-02726,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.109499,-103.729788,787,1 k,February 2014,December 2025
23367,Atlanta Federal 6-6H,"Continental Resources, Inc.",33-105-02727,Williams,ND,,,,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-federal-6-6h/33-105-02727,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.109504,-103.729972,339,609,February 2014,December 2025
23368,Atlanta Federal 5-6H,"Continental Resources, Inc.",,Williams,ND,,,,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-federal-5-6h/33-105-02728,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.109510,-103.730156,520,794,February 2014,December 2025
23369,Atlanta 4-6H,"Continental Resources, Inc.",33-105-02729,Williams,ND,,48.1094,-103.7329,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-4-6h/33-105-02729,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.109535,-103.730975,173,449,February 2014,December 2025
23370,Atlanta 3-6H,"Continental Resources, Inc.",,Williams,ND,P.O. Box 268870,48.1094,-103.7312,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-13-6h/33-105-02720,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.109439,-103.727678,608,884,February 2014,December 2025
23371,Atlanta 2-6H,"Continental Resources, Inc.",33-105-02731,Williams,ND,,,,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-2-6h/33-105-02731,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.109546,-103.731344,84,351,February 2014,December 2025
23372,Atlanta 1-GH,"Continental Resources, Inc.",33-105-02732,,ND,P.O. Box 268870,48.11,-103.73,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-1-6h/33-105-02732,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.109552,-103.731528,N/A,N/A,March 2013,December 2025
25156,Columbus Federal 1-16H,"Continental Resources, Inc.",33-053-04852,,ND,P.O. Box 268870,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/columbus-federal-1-16h/33-053-04852,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.074859,-103.670170,1.1 k,2.5 k,July 2013,December 2025
25157,Tallahassee 3-16H,Continental Resources Inc.,,Mckenzie,ND,P .0. Box 268870 Oklahoma City OK 73126,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/tallahassee-3-16h/33-053-04853,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.075131,-103.669967,389,419,March 2014,December 2025
25158,Tallahassee 2-16H,"Continental Resources, Inc.",,,ND,P.O. Box 268870,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/tallahassee-2-16h/33-053-04854,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.075235,-103.669874,277,1.3 k,March 2014,December 2025
25159,Columbus Federal 2-16H,"Continental Resources, Inc.",,,ND,P.O. Box 268870,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/columbus-federal-2-16h/33-053-04855,1,Active,Oil & Gas,H,"CONTINENTAL RESOURCES, INC.",Williston,48.075342,-103.669780,815,1.4 k,March 2014,December 2025
